name,price
Monique Russell,693.16
Connor Martinez,280.35
Robin Barker,834.29
Kayla Berry,302.22
Craig Thomas,459.89
Laura Hays,341.35
James Aguilar,300.43
Sydney Peterson,643.07
Courtney Diaz,823.48
Nathan Benitez,910.35
Paul Holt,301.11
Aaron Campbell,570.55
Joel Pope,964.77
Michelle Schmidt,221.85
Linda Chen,955.26
Courtney Mcmahon,125.1
Dominic Clark,196.64
Jason Gardner,459.24
Susan Smith,439.79
Dawn Lozano,782.81
Sierra Quinn,113.86
Richard Cooper,426.55
Gary Shaw,529.92
Bailey Sloan,593.77
Karen Price,757.57
Thomas Prince,770.11
Kevin Hunter,356.39
Anthony Carrillo,395.01
Jaime Howell,256.53
Jeremy Brooks,49.22
Cynthia Moss,494.8
Lisa Ruiz,996.11
Alex Oconnor,437.87
Samuel Bailey,754.23
Stephanie Fernandez,14.26
Gabriella Carrillo,142.07
Mark Soto,816.03
Marisa Morgan,127.15
Natasha Williams,693.97
Carolyn David,573.54
Mark Crosby,552.29
Christopher Hester,160.06
Veronica Walton,43.86
Peter Lynch,8.43
Tracie Ingram,707.01
Cheryl Sullivan,894.49
Patricia Pearson,896.05
Melissa Mendoza,589.16
David Stevenson,97.77
James Edwards,209.43
Michael Ferguson,45.07
Ryan French,928.26
Stephen Zimmerman,348.46
Eric Lewis,958.01
George Clark,27.45
Tina Wagner,963.99
Makayla Melendez MD,77.67
Evelyn Williams,360.57
Nicole Shea,935.97
David Weaver,951.28
Alec Hernandez,641.73
Sharon Jones,186.96
Wesley Jordan,183.11
William Estrada,288.24
Glenn Ryan,561.76
Christopher Kelley,521.08
Cynthia Hall,882.48
Thomas Powers,760.13
Michelle Taylor,770.39
Jeffrey Miller,164.64
Justin Hogan,62.06
John Barton,869.77
Maria Smith,360.56
Michael Garrett,987.94
Tonya Gomez,495.54
Scott Flores,879.26
Tim Williams,12.4
James Lee DDS,376.6
Amy Stanley,220.13
John Henry,558.04
Timothy Hardy,487.65
David Roberts,324.64
Susan Hubbard,987.86
Robert Harris,521.17
Mark Gordon,735.45
Steve Garcia,537.63
Adam Wagner,386.05
Gregory Clark,773.41
David Rodriguez,227.15
Anna Gross,323.65
Julie Adams,191.36
Matthew Marshall,548.42
Joshua Galloway,123.12
Ethan Lowe MD,691.08
Makayla Mccall,503.18
